Unicode,Akshara,Top Modifier,Right Modifier,Bottom Modifier,Left Modifier,Center Modifier,Derived Consonant Modifier,Distinct Constant Modifier,additional_complexity
0A85, અ,0,0,0,0,0,0,0,0
0A86, આ,0,1,0,0,0,0,0,0
0A87, ઇ,0,0,0,0,0,0,0,0
0A88, ઈ,1,0,0,0,0,0,0,0
0A89, ઉ,0,0,0,0,0,0,0,0
0A8A, ઊ,0,1,0,0,0,0,0,0
0A8B, ઋ,0,0,0,0,0,0,0,0
0A8C, ઌ,0,1,0,0,0,0,0,0
0A8D, ઍ,1,0,0,0,0,0,0,0
0A8F, એ,0,0,0,0,0,0,0,0
0A90, ઐ,1,0,0,0,0,0,0,0
0A91, ઑ,1,1,0,0,0,0,0,0
0A93, ઓ,1,1,0,0,0,0,0,0
0A94, ઔ,1,1,0,0,0,0,0,0
0A95, ક,0,0,0,0,0,0,0,0
0A96, ખ,0,0,0,0,0,0,0,10
0A97, ગ,0,0,0,0,0,0,0,0
0A98, ઘ,0,0,0,0,0,0,0,0
0A9A, ચ,0,0,0,0,0,0,0,0
0A9B, છ,0,0,0,0,0,0,0,0
0A9C, જ,0,0,0,0,0,0,0,0
0A9D, ઝ,0,0,0,0,0,0,0,5
0A9E, ઞ,0,0,0,0,0,0,0,0
0A9F, ટ,0,0,0,0,0,0,0,0
0AA0, ઠ,0,0,0,0,0,0,0,0
0AA1, ડ,0,0,0,0,0,0,0,0
0AA2, ઢ,0,0,0,0,0,0,0,0
0AA3, ણ,0,0,0,0,0,0,0,0
0AA4, ત,0,0,0,0,0,0,0,0
0AA5, થ,0,0,0,0,0,0,0,10
0AA6, દ,0,0,0,0,0,0,0,0
0AA7, ધ,0,0,0,0,0,0,0,10
0AA8, ન,0,0,0,0,0,0,0,0
0AAA, પ,0,0,0,0,0,0,0,0
0AAB, ફ,0,0,0,0,0,0,0,0
0AAC, બ,0,0,0,0,0,0,0,0
0AAD, ભ,0,0,0,0,0,0,0,0
0AAE, મ,0,0,0,0,0,0,0,0
0AAF, ય,0,0,0,0,0,0,0,0
0AB0, ર,0,0,0,0,0,0,0,0
0AB2, લ,0,0,0,0,0,0,0,0
0AB3, ળ,0,0,0,0,0,0,0,0
0AB5, વ,0,0,0,0,0,0,0,0
0AB6, શ,0,0,0,0,0,0,0,0
0AB7, ષ,0,0,0,0,0,0,0,0
0AB8, સ,0,0,0,0,0,0,0,0
0AB9, હ,0,0,0,0,0,0,0,0
0AB9, હ,0,0,0,0,0,0,0,0
0ACD, ्,0,0,0,1,0,0,0,0
0ABE, ा,0,0,0,0,0,0,0,0
0AC0, ी,0,1,0,0,0,0,0,0
0AC1, ु,0,0,1,0,0,0,0,0
0AC2, ू,0,0,1,0,0,0,0,0
0AC3, ृ,0,0,1,0,0,0,0,0
0AC4, ॄ,0,0,1,0,0,0,0,0
0AC5, ॆ,1,0,0,0,0,0,0,0
0AC7, े,1,0,0,0,0,0,0,0
0AC8, ै,1,0,0,0,0,0,0,0
0AC9, ॊ,1,1,0,0,0,0,0,0
0ACB, ो,1,1,0,0,0,0,0,0
0ACC, ौ,1,1,0,0,0,0,0,0
0901,CANDRABINDU,1,0,0,0,0,0,0,25
0902, ं,1,0,0,0,0,0,0,0
0903, ः,0,1,0,0,0,0,0,0
0A95m, ક,0,0,0,0,0,0,0,0
0A96m, ખ,0,0,0,0,0,0,0,10
0A97m, ગ,0,0,0,0,0,0,0,0
0A98m, ઘ,0,0,0,0,0,0,0,0
0A99m, ઙ,0,0,0,0,0,0,0,0
0A9Am, ચ,0,0,0,0,0,0,0,0
0A9Bm, છ,0,0,0,0,0,0,0,0
0A9Cm, જ,0,0,0,0,0,0,0,0
0A9Dm, ઝ,0,0,0,0,0,0,0,5
0A9Em, ઞ,0,0,0,0,0,0,0,0
0A9Fm, ટ,0,0,0,0,0,0,0,0
0AA0m, ઠ,0,0,0,0,0,0,0,0
0AA1m, ડ,0,0,0,0,0,0,0,0
0AA2m, ઢ,0,0,0,0,0,0,0,0
0AA3m, ણ,0,0,0,0,0,0,0,0
0AA4m, ત,0,0,0,0,0,0,0,0
0AA5m, થ,0,0,0,0,0,0,0,10
0AA6m, દ,0,0,0,0,0,0,0,0
0AA7m, ધ,0,0,0,0,0,0,0,10
0AA8m, ન,0,0,0,0,0,0,0,0
0AAAm, પ,0,0,0,0,0,0,0,0
0AABm, ફ,0,0,0,0,0,0,0,0
0AACm, બ,0,0,0,0,0,0,0,0
0AADm, ભ,0,0,0,0,0,0,0,0
0AAEm, મ,0,0,0,0,0,0,0,0
0AAFm, ય,0,0,0,0,0,0,0,0
0AB0m, ર,0,0,0,0,0,0,0,0
0AB2m, લ,0,0,0,0,0,0,0,0
0AB3m, ળ,0,0,0,0,0,0,0,0
0AB5m, વ,0,0,0,0,0,0,0,0
0AB6m, શ,0,0,0,0,0,0,0,0
0AB7m, ષ,0,0,0,0,0,0,0,0
0AB8m, સ,0,0,0,0,0,0,0,0
0AB9m, હ,0,0,0,0,0,0,0,0
